 ___energy_hartree  E_kj/mol      step
 -1912.054872130000    41.472     frw_1
 -1912.054871640000    41.473     frw_2
 -1912.054870450000    41.476     frw_3
 -1912.054868680000    41.481     frw_4
 -1912.054866260000    41.487     frw_5
 -1912.054863270000    41.495     frw_6
 -1912.054859690000    41.505     frw_7
 -1912.054855520000    41.516     frw_8
 -1912.054850870000    41.528     frw_9
 -1912.054845750000    41.541    frw_10
 -1912.054840230000    41.556    frw_11
 -1912.054834350000    41.571    frw_12
 -1912.054828150000    41.588    frw_13
 -1912.054821640000    41.605    frw_14
 -1912.054814800000    41.623    frw_15
 -1912.054807620000    41.641    frw_16
 -1912.054800060000    41.661    frw_17
 -1912.054792020000    41.682    frw_18
 -1912.054783460000    41.705    frw_19
 -1912.054774310000    41.729    frw_20
 -1912.054764700000    41.754    frw_21
 -1912.054754470000    41.781    frw_22
 -1912.054743760000    41.809    frw_23
 -1912.054732610000    41.838    frw_24
 -1912.054721060000    41.869    frw_25
 -1912.054709280000    41.900    frw_26
 -1912.054697280000    41.931    frw_27
 -1912.054685200000    41.963    frw_28
 -1912.054673030000    41.995    frw_29
 -1912.054660880000    42.027    frw_30
 -1912.054648620000    42.059    frw_31
 -1912.054636120000    42.092    frw_32
 -1912.054623260000    42.125    frw_33
 -1912.054609780000    42.161    frw_34
 -1912.054595550000    42.198    frw_35
 -1912.054580280000    42.238    frw_36
 -1912.054563790000    42.282    frw_37
 -1912.054545800000    42.329    frw_38
 -1912.054526180000    42.380    frw_39
 -1912.054504690000    42.437    frw_40
 -1912.054481100000    42.499    frw_41
 -1912.054455240000    42.567    frw_42
 -1912.054426940000    42.641    frw_43
 -1912.054396010000    42.722    frw_44
 -1912.054362330000    42.811    frw_45
 -1912.054325820000    42.906    frw_46
 -1912.054286230000    43.010    frw_47
 -1912.054243540000    43.122    frw_48
 -1912.054197570000    43.243    frw_49
 -1912.054148240000    43.373    frw_50
 -1912.054095430000    43.511    frw_51
 -1912.054039010000    43.659    frw_52
 -1912.053978950000    43.817    frw_53
 -1912.053915280000    43.984    frw_54
 -1912.053847830000    44.161    frw_55
 -1912.053776280000    44.349    frw_56
 -1912.053702140000    44.544    frw_57
 -1912.053624290000    44.748    frw_58
 -1912.053542450000    44.963    frw_59
 -1912.053456340000    45.189    frw_60
 -1912.053364950000    45.429    frw_61
 -1912.053268180000    45.683    frw_62
 -1912.053165870000    45.952    frw_63
 -1912.053057830000    46.235    frw_64
 -1912.052943890000    46.535    frw_65
 -1912.052823900000    46.850    frw_66
 -1912.052697700000    47.181    frw_67
 -1912.052565190000    47.529    frw_68
 -1912.052426300000    47.894    frw_69
 -1912.052281030000    48.275    frw_70
