 __geometry  E_kJ_mol    name
     3.573    41.472     frw_1
     3.563    41.473     frw_2
     3.553    41.476     frw_3
     3.543    41.481     frw_4
     3.533    41.487     frw_5
     3.523    41.495     frw_6
     3.513    41.505     frw_7
     3.503    41.516     frw_8
     3.493    41.528     frw_9
     3.483    41.541    frw_10
     3.473    41.556    frw_11
     3.463    41.571    frw_12
     3.453    41.588    frw_13
     3.443    41.605    frw_14
     3.433    41.623    frw_15
     3.423    41.641    frw_16
     3.413    41.661    frw_17
     3.403    41.682    frw_18
     3.393    41.705    frw_19
     3.383    41.729    frw_20
     3.373    41.754    frw_21
     3.363    41.781    frw_22
     3.353    41.809    frw_23
     3.343    41.838    frw_24
     3.333    41.869    frw_25
     3.323    41.900    frw_26
     3.313    41.931    frw_27
     3.303    41.963    frw_28
     3.293    41.995    frw_29
     3.283    42.027    frw_30
     3.273    42.059    frw_31
     3.263    42.092    frw_32
     3.253    42.125    frw_33
     3.243    42.161    frw_34
     3.233    42.198    frw_35
     3.223    42.238    frw_36
     3.213    42.282    frw_37
     3.203    42.329    frw_38
     3.193    42.380    frw_39
     3.183    42.437    frw_40
     3.173    42.499    frw_41
     3.163    42.567    frw_42
     3.153    42.641    frw_43
     3.143    42.722    frw_44
     3.133    42.811    frw_45
     3.123    42.906    frw_46
     3.113    43.010    frw_47
     3.103    43.122    frw_48
     3.093    43.243    frw_49
     3.083    43.373    frw_50
     3.073    43.511    frw_51
     3.063    43.659    frw_52
     3.053    43.817    frw_53
     3.043    43.984    frw_54
     3.033    44.161    frw_55
     3.023    44.349    frw_56
     3.013    44.544    frw_57
     3.003    44.748    frw_58
     2.993    44.963    frw_59
     2.983    45.189    frw_60
     2.973    45.429    frw_61
     2.963    45.683    frw_62
     2.953    45.952    frw_63
     2.943    46.235    frw_64
     2.933    46.535    frw_65
     2.923    46.850    frw_66
     2.913    47.181    frw_67
     2.903    47.529    frw_68
     2.893    47.894    frw_69
     2.883    48.275    frw_70
     2.873    48.672    frw_71
     2.863    49.083    frw_72
     2.853    49.503    frw_73
     2.843    49.933    frw_74
     2.833    50.373    frw_75
     2.823    50.856    frw_76
     2.813    51.314    frw_77
     2.803    51.798    frw_78
     2.793    52.252    frw_79
     2.783    52.717    frw_80
     2.773    53.184    frw_81
     2.763    53.655    frw_82
     2.753    54.131    frw_83
     2.743    54.615    frw_84
     2.733    55.108    frw_85
     2.723    55.611    frw_86
     2.713    56.126    frw_87
     2.703    56.653    frw_88
     2.693    57.193    frw_89
     2.683    57.746    frw_90
     2.673    58.313    frw_91
     2.663    58.895    frw_92
     2.653    59.492    frw_93
     2.643    60.106    frw_94
     2.633    60.735    frw_95
     2.623    61.382    frw_96
     2.613    62.046    frw_97
     2.603    62.728    frw_98
     2.593    63.429    frw_99
     2.583    64.149   frw_100
     2.573    64.889   frw_101
     2.563    65.649   frw_102
     2.553    66.430   frw_103
     2.543    67.232   frw_104
     2.533    68.055   frw_105
     2.523    68.901   frw_106
     2.513    69.769   frw_107
     2.503    70.660   frw_108
     2.493    71.574   frw_109
     2.483    72.512   frw_110
     2.473    73.474   frw_111
     2.463    74.460   frw_112
     2.453    75.472   frw_113
     2.443    76.508   frw_114
     2.433    77.570   frw_115
     2.423    78.658   frw_116
     2.413    79.773   frw_117
     2.403    80.914   frw_118
     2.393    82.082   frw_119
     2.383    83.278   frw_120
