 ___energy_hartree  E_kj/mol      step
 -1912.070667990000     0.000         1
 -1912.070628810000     0.103         2
 -1912.070514290000     0.404         3
 -1912.070330340000     0.887         4
 -1912.070081670000     1.539         5
 -1912.069772230000     2.352         6
 -1912.069406610000     3.312         7
 -1912.068989610000     4.407         8
 -1912.068524540000     5.628         9
 -1912.068014770000     6.966        10
 -1912.067463930000     8.412        11
 -1912.066875760000     9.957        12
 -1912.066252910000    11.592        13
 -1912.065597730000    13.312        14
 -1912.064912860000    15.110        15
 -1912.064201070000    16.979        16
 -1912.063464940000    18.912        17
 -1912.062706920000    20.902        18
 -1912.061929420000    22.943        19
 -1912.061134800000    25.029        20
 -1912.060325160000    27.155        21
 -1912.059502510000    29.315        22
 -1912.058668640000    31.504        23
 -1912.057825180000    33.719        24
 -1912.056973660000    35.954        25
 -1912.056115590000    38.207        26
 -1912.055252390000    40.474        27
 -1912.054385430000    42.750        28
 -1912.053515990000    45.033        29
 -1912.052645550000    47.318        30
 -1912.051775200000    49.603        31
 -1912.050906220000    51.885        32
 -1912.050039770000    54.159        33
 -1912.049176760000    56.425        34
 -1912.048317950000    58.680        35
 -1912.047464030000    60.922        36
 -1912.046615590000    63.150        37
 -1912.045773240000    65.361        38
 -1912.044937630000    67.555        39
 -1912.044109350000    69.730        40
 -1912.043289000000    71.884        41
 -1912.042477210000    74.015        42
 -1912.041674580000    76.122        43
 -1912.040881730000    78.204        44
 -1912.040099220000    80.258        45
 -1912.039327490000    82.284        46
 -1912.038566800000    84.282        47
 -1912.037817380000    86.249        48
 -1912.037079500000    88.187        49
 -1912.036353490000    90.093        50
 -1912.035639790000    91.967        51
 -1912.034938980000    93.807        52
 -1912.034251960000    95.610        53
 -1912.033579340000    97.376        54
 -1912.032923160000    99.099        55
 -1912.032284740000   100.775        56
 -1912.031661290000   102.412        57
 -1912.031055100000   104.004        58
 -1912.030468680000   105.543        59
 -1912.029898340000   107.041        60
 -1912.029343710000   108.497        61
 -1912.028804730000   109.912        62
 -1912.028281220000   111.286        63
 -1912.027772970000   112.621        64
 -1912.027280240000   113.915        65
 -1912.026803660000   115.166        66
 -1912.026344530000   116.371        67
 -1912.025906490000   117.521        68
 -1912.026578150000   115.758        69
 -1912.026402540000   116.219        70
 -1912.026240540000   116.644        71
 -1912.026091270000   117.036        72
 -1912.025954310000   117.396        73
 -1912.025829290000   117.724        74
 -1912.025716260000   118.021        75
 -1912.025615400000   118.286        76
 -1912.025527250000   118.517        77
 -1912.025452710000   118.713        78
 -1912.025394210000   118.866        79
 -1912.031721880000   102.253        80
 -1912.032320890000   100.680        81
 -1912.032910230000    99.133        82
 -1912.033489530000    97.612        83
 -1912.034058430000    96.118        84
 -1912.034616900000    94.652        85
 -1912.035164600000    93.214        86
 -1912.035701570000    91.804        87
 -1912.036227600000    90.423        88
 -1912.036742720000    89.071        89
 -1912.037246900000    87.747        90
 -1912.037740200000    86.452        91
 -1912.038222730000    85.185        92
 -1912.038694470000    83.946        93
 -1912.039155720000    82.735        94
 -1912.039606320000    81.552        95
 -1912.040046660000    80.396        96
 -1912.040476680000    79.267        97
 -1912.040896590000    78.165        98
 -1912.041306590000    77.088        99
 -1912.041706710000    76.038       100
 -1912.042097170000    75.013       101
 -1912.042478070000    74.013       102
 -1912.042849570000    73.037       103
 -1912.043211820000    72.086       104
 -1912.043564960000    71.159       105
 -1912.043909150000    70.255       106
 -1912.044244540000    69.375       107
 -1912.044571300000    68.517       108
 -1912.044889580000    67.681       109
 -1912.045199530000    66.867       110
 -1912.045501330000    66.075       111
 -1912.045795130000    65.304       112
 -1912.046081130000    64.553       113
 -1912.046359500000    63.822       114
 -1912.046630440000    63.111       115
 -1912.046894160000    62.418       116
 -1912.047150860000    61.744       117
 -1912.047400760000    61.088       118
 -1912.047644090000    60.449       119
 -1912.047881040000    59.827       120
 -1912.048111820000    59.221       121
 -1912.048336650000    58.631       122
 -1912.048555740000    58.056       123
 -1912.048769260000    57.495       124
 -1912.048977660000    56.948       125
 -1912.049181000000    56.414       126
 -1912.049379580000    55.893       127
 -1912.049573710000    55.383       128
 -1912.049763640000    54.884       129
 -1912.049949780000    54.396       130
 -1912.050132660000    53.916       131
 -1912.050312960000    53.442       132
 -1912.050491510000    52.973       133
 -1912.050669120000    52.507       134
 -1912.050845630000    52.044       135
 -1912.051020720000    51.584       136
 -1912.051207740000    51.093       137
 -1912.051377810000    50.646       138
 -1912.051556570000    50.177       139
 -1912.051723740000    49.738       140
 -1912.051886030000    49.312       141
 -1912.052044220000    48.897       142
 -1912.052198610000    48.491       143
 -1912.052347300000    48.101       144
 -1912.052489700000    47.727       145
 -1912.052625710000    47.370       146
 -1912.052755370000    47.030       147
 -1912.052878730000    46.706       148
 -1912.052996000000    46.398       149
 -1912.053107240000    46.106       150
 -1912.053212690000    45.829       151
 -1912.053312470000    45.567       152
 -1912.053406830000    45.319       153
 -1912.053495950000    45.085       154
 -1912.053579650000    44.865       155
 -1912.053660000000    44.654       156
 -1912.053735450000    44.456       157
 -1912.053809050000    44.263       158
 -1912.053878780000    44.080       159
 -1912.053944530000    43.907       160
 -1912.054006530000    43.745       161
 -1912.054064880000    43.591       162
 -1912.054119690000    43.448       163
 -1912.054170920000    43.313       164
 -1912.054218710000    43.188       165
 -1912.054263190000    43.071       166
 -1912.054304460000    42.962       167
 -1912.054342670000    42.862       168
 -1912.054377890000    42.770       169
 -1912.054410300000    42.685       170
 -1912.054440010000    42.607       171
 -1912.054467200000    42.535       172
 -1912.054492000000    42.470       173
 -1912.054514620000    42.411       174
 -1912.054535230000    42.357       175
 -1912.054554060000    42.307       176
 -1912.054571370000    42.262       177
 -1912.054587260000    42.220       178
 -1912.054602030000    42.181       179
 -1912.054615920000    42.145       180
 -1912.054629110000    42.110       181
 -1912.054641800000    42.077       182
 -1912.054654180000    42.044       183
 -1912.054666390000    42.012       184
 -1912.054678540000    41.980       185
 -1912.054690660000    41.948       186
 -1912.054702710000    41.917       187
 -1912.054714640000    41.886       188
 -1912.054726300000    41.855       189
 -1912.054737690000    41.825       190
 -1912.054748640000    41.796       191
 -1912.054759110000    41.769       192
 -1912.054769040000    41.743       193
 -1912.054778450000    41.718       194
 -1912.054787320000    41.695       195
 -1912.054795670000    41.673       196
 -1912.054803560000    41.652       197
 -1912.054810990000    41.633       198
 -1912.054818010000    41.614       199
 -1912.054824670000    41.597       200
 -1912.054831010000    41.580       201
 -1912.054837040000    41.564       202
 -1912.054842750000    41.549       203
 -1912.054848090000    41.535       204
 -1912.054853000000    41.522       205
 -1912.054857460000    41.511       206
 -1912.054861380000    41.500       207
 -1912.054864730000    41.491       208
 -1912.054867480000    41.484       209
 -1912.054869610000    41.479       210
 -1912.054871120000    41.475       211
 -1912.054871970000    41.472       212
 -1912.054872160000    41.472       213


