 ___energy_hartree  E_kj/mol      step
 -1912.054872130000     0.000         1
 -1912.054871640000     0.001         2
 -1912.054870450000     0.004         3
 -1912.054868680000     0.009         4
 -1912.054866260000     0.015         5
 -1912.054863270000     0.023         6
 -1912.054859690000     0.033         7
 -1912.054855520000     0.044         8
 -1912.054850870000     0.056         9
 -1912.054845750000     0.069        10
 -1912.054840230000     0.084        11
 -1912.054834350000     0.099        12
 -1912.054828150000     0.115        13
 -1912.054821640000     0.133        14
 -1912.054814800000     0.151        15
 -1912.054807620000     0.169        16
 -1912.054800060000     0.189        17
 -1912.054792020000     0.210        18
 -1912.054783460000     0.233        19
 -1912.054774310000     0.257        20
 -1912.054764700000     0.282        21
 -1912.054754470000     0.309        22
 -1912.054743760000     0.337        23
 -1912.054732610000     0.366        24
 -1912.054721060000     0.397        25
 -1912.054709280000     0.428        26
 -1912.054697280000     0.459        27
 -1912.054685200000     0.491        28
 -1912.054673030000     0.523        29
 -1912.054660880000     0.555        30
 -1912.054648620000     0.587        31
 -1912.054636120000     0.620        32
 -1912.054623260000     0.653        33
 -1912.054609780000     0.689        34
 -1912.054595550000     0.726        35
 -1912.054580280000     0.766        36
 -1912.054563790000     0.810        37
 -1912.054545800000     0.857        38
 -1912.054526180000     0.908        39
 -1912.054504690000     0.965        40
 -1912.054481100000     1.027        41
 -1912.054455240000     1.095        42
 -1912.054426940000     1.169        43
 -1912.054396010000     1.250        44
 -1912.054362330000     1.338        45
 -1912.054325820000     1.434        46
 -1912.054286230000     1.538        47
 -1912.054243540000     1.650        48
 -1912.054197570000     1.771        49
 -1912.054148240000     1.901        50
 -1912.054095430000     2.039        51
 -1912.054039010000     2.187        52
 -1912.053978950000     2.345        53
 -1912.053915280000     2.512        54
 -1912.053847830000     2.689        55
 -1912.053776280000     2.877        56
 -1912.053702140000     3.072        57
 -1912.053624290000     3.276        58
 -1912.053542450000     3.491        59
 -1912.053456340000     3.717        60
 -1912.053364950000     3.957        61
 -1912.053268180000     4.211        62
 -1912.053165870000     4.480        63
 -1912.053057830000     4.763        64
 -1912.052943890000     5.063        65
 -1912.052823900000     5.378        66
 -1912.052697700000     5.709        67
 -1912.052565190000     6.057        68
 -1912.052426300000     6.422        69
 -1912.052281030000     6.803        70
 -1912.052129620000     7.200        71
